send_id,campaign_id,customer_id,email_sent_date,opened_flag,clicked_flag
S000001,CMP-2501,C00280,2025-10-01,0,0
S000002,CMP-2501,C00006,2025-10-01,0,0
S000003,CMP-2501,C00417,2025-10-01,1,0
S000004,CMP-2501,C00213,2025-10-01,1,0
S000005,CMP-2501,C00020,2025-10-01,1,0
S000006,CMP-2501,C00425,2025-10-01,0,0
S000007,CMP-2501,C00133,2025-10-01,0,0
S000008,CMP-2501,C00282,2025-10-01,1,0
S000009,CMP-2501,C00274,2025-10-01,1,0
S000010,CMP-2501,C00474,2025-10-01,1,0
S000011,CMP-2501,C00326,2025-10-01,1,0
S000012,CMP-2501,C00100,2025-10-01,1,0
S000013,CMP-2501,C00227,2025-10-01,0,0
S000014,CMP-2501,C00231,2025-10-01,0,0
S000015,CMP-2501,C00019,2025-10-01,0,0
S000016,CMP-2501,C00333,2025-10-01,1,0
S000017,CMP-2501,C00588,2025-10-01,0,0
S000018,CMP-2501,C00066,2025-10-01,0,0
S000019,CMP-2501,C00295,2025-10-01,0,0
S000020,CMP-2501,C00472,2025-10-01,0,0
S000021,CMP-2501,C00431,2025-10-01,0,0
S000022,CMP-2501,C00337,2025-10-01,0,0
S000023,CMP-2501,C00555,2025-10-01,1,1
S000024,CMP-2501,C00399,2025-10-01,0,0
S000025,CMP-2501,C00488,2025-10-01,0,0
S000026,CMP-2501,C00572,2025-10-01,1,0
S000027,CMP-2501,C00013,2025-10-01,1,0
S000028,CMP-2501,C00352,2025-10-01,0,0
S000029,CMP-2501,C00349,2025-10-01,0,0
S000030,CMP-2501,C00328,2025-10-01,0,0
S000031,CMP-2501,C00355,2025-10-01,0,0
S000032,CMP-2501,C00456,2025-10-01,1,0
S000033,CMP-2501,C00156,2025-10-01,1,0
S000034,CMP-2501,C00591,2025-10-01,0,0
S000035,CMP-2501,C00511,2025-10-01,0,0
S000036,CMP-2501,C00216,2025-10-01,0,0
S000037,CMP-2501,C00546,2025-10-01,1,0
S000038,CMP-2501,C00175,2025-10-01,0,0
S000039,CMP-2501,C00400,2025-10-01,1,0
S000040,CMP-2501,C00262,2025-10-01,0,0
S000041,CMP-2501,C00413,2025-10-01,1,1
S000042,CMP-2501,C00034,2025-10-01,0,0
S000043,CMP-2501,C00081,2025-10-01,1,0
S000044,CMP-2501,C00499,2025-10-01,0,0
S000045,CMP-2501,C00354,2025-10-01,1,0
S000046,CMP-2501,C00086,2025-10-01,0,0
S000047,CMP-2501,C00597,2025-10-01,0,0
S000048,CMP-2501,C00543,2025-10-01,0,0
S000049,CMP-2501,C00379,2025-10-01,0,0
S000050,CMP-2501,C00312,2025-10-01,0,0
S000051,CMP-2501,C00299,2025-10-01,1,0
S000052,CMP-2501,C00323,2025-10-01,1,1
S000053,CMP-2501,C00463,2025-10-01,1,1
S000054,CMP-2501,C00479,2025-10-01,0,0
S000055,CMP-2501,C00031,2025-10-01,1,0
S000056,CMP-2501,C00160,2025-10-01,0,0
S000057,CMP-2501,C00171,2025-10-01,0,0
S000058,CMP-2501,C00361,2025-10-01,0,0
S000059,CMP-2501,C00442,2025-10-01,1,0
S000060,CMP-2501,C00426,2025-10-01,0,0
S000061,CMP-2501,C00024,2025-10-01,1,0
S000062,CMP-2501,C00291,2025-10-01,0,0
S000063,CMP-2501,C00503,2025-10-01,0,0
