asset_name,game_date,broadcast_impressions,estimated_value
Jersey Patch,2025-10-22,701799,8421.59
Courtside LED,2025-10-22,540072,4860.65
Arena Concourse Signage,2025-10-22,153076,612.3
Scoreboard Feature,2025-10-22,417897,2925.28
Jersey Patch,2025-10-26,982000,11784.0
Courtside LED,2025-10-26,734722,6612.5
Arena Concourse Signage,2025-10-26,143757,575.03
Scoreboard Feature,2025-10-26,283302,1983.11
Jersey Patch,2025-10-30,687754,8253.05
Courtside LED,2025-10-30,535470,4819.23
Arena Concourse Signage,2025-10-30,94395,377.58
Scoreboard Feature,2025-10-30,453835,3176.85
Jersey Patch,2025-11-03,1054222,12650.66
Courtside LED,2025-11-03,793832,7144.49
Arena Concourse Signage,2025-11-03,107408,429.63
Scoreboard Feature,2025-11-03,378670,2650.69
Jersey Patch,2025-11-07,986140,11833.68
Courtside LED,2025-11-07,720322,6482.9
Arena Concourse Signage,2025-11-07,115925,463.7
Scoreboard Feature,2025-11-07,328371,2298.6
Jersey Patch,2025-11-11,972927,11675.12
Courtside LED,2025-11-11,535644,4820.8
Arena Concourse Signage,2025-11-11,109428,437.71
Scoreboard Feature,2025-11-11,488788,3421.52
Jersey Patch,2025-11-15,1093381,13120.57
Courtside LED,2025-11-15,713298,6419.68
Arena Concourse Signage,2025-11-15,119273,477.09
Scoreboard Feature,2025-11-15,507794,3554.56
Jersey Patch,2025-11-19,866223,10394.68
Courtside LED,2025-11-19,553323,4979.91
Arena Concourse Signage,2025-11-19,115197,460.79
Scoreboard Feature,2025-11-19,318065,2226.45
Jersey Patch,2025-11-23,1051952,12623.42
Courtside LED,2025-11-23,780139,7021.25
Arena Concourse Signage,2025-11-23,137879,551.52
Scoreboard Feature,2025-11-23,405827,2840.79
Jersey Patch,2025-11-27,740073,8880.88
Courtside LED,2025-11-27,498062,4482.56
Arena Concourse Signage,2025-11-27,104679,418.72
Scoreboard Feature,2025-11-27,348027,2436.19
Jersey Patch,2025-12-01,725612,8707.34
Courtside LED,2025-12-01,754930,6794.37
Arena Concourse Signage,2025-12-01,118072,472.29
Scoreboard Feature,2025-12-01,463032,3241.22
Jersey Patch,2025-12-05,665259,7983.11
Courtside LED,2025-12-05,632227,5690.04
Arena Concourse Signage,2025-12-05,105830,423.32
Scoreboard Feature,2025-12-05,333835,2336.85
Jersey Patch,2025-12-09,738498,
Courtside LED,2025-12-09,791900,7127.1
Arena Concourse Signage,2025-12-09,144441,577.76
Scoreboard Feature,2025-12-09,511241,3578.69
Jersey Patch,2025-12-13,775605,9307.26
Courtside LED,2025-12-13,642336,5781.02
Arena Concourse Signage,2025-12-13,115545,462.18
Scoreboard Feature,2025-12-13,312036,2184.25
Jersey Patch,2025-12-17,1051744,12620.93
Courtside LED,2025-12-17,706635,6359.71
Arena Concourse Signage,2025-12-17,111689,446.76
Scoreboard Feature,2025-12-17,516758,3617.31
Jersey Patch,2025-12-21,927943,11135.32
Courtside LED,2025-12-21,705336,6348.02
Arena Concourse Signage,2025-12-21,94417,377.67
Scoreboard Feature,2025-12-21,344242,2409.69
Jersey Patch,2025-12-25,830250,9963.0
Courtside LED,2025-12-25,554376,4989.38
Arena Concourse Signage,2025-12-25,91116,364.46
Scoreboard Feature,2025-12-25,486880,3408.16
Jersey Patch,2025-12-29,908899,10906.79
Courtside LED,2025-12-29,575984,5183.86
Arena Concourse Signage,2025-12-29,113067,452.27
Scoreboard Feature,2025-12-29,295112,2065.78
Jersey Patch,2026-01-02,1146863,13762.36
Courtside LED,2026-01-02,496776,4470.98
Arena Concourse Signage,2026-01-02,148711,594.84
Scoreboard Feature,2026-01-02,340503,2383.52
Jersey Patch,2026-01-06,761918,9143.02
Courtside LED,2026-01-06,828494,7456.45
Arena Concourse Signage,2026-01-06,151058,604.23
Scoreboard Feature,2026-01-06,485404,3397.83
Jersey Patch,2026-01-10,940183,11282.2
Courtside LED,2026-01-10,815527,7339.74
Arena Concourse Signage,2026-01-10,150371,601.48
Scoreboard Feature,2026-01-10,430604,3014.23
Jersey Patch,2026-01-14,1157823,13893.88
Courtside LED,2026-01-14,456314,4106.83
Arena Concourse Signage,2026-01-14,153020,612.08
Scoreboard Feature,2026-01-14,358570,2509.99
Jersey Patch,2026-01-18,1002404,12028.85
Courtside LED,2026-01-18,671010,6039.09
Arena Concourse Signage,2026-01-18,124892,499.57
Scoreboard Feature,2026-01-18,280350,1962.45
Jersey Patch,2026-01-22,734446,8813.35
Courtside LED,2026-01-22,497301,4475.71
Arena Concourse Signage,2026-01-22,106056,424.22
Scoreboard Feature,2026-01-22,463398,3243.79
Jersey Patch,2026-01-26,765630,9187.56
Courtside LED,2026-01-26,768791,6919.12
Arena Concourse Signage,2026-01-26,126205,504.82
Scoreboard Feature,2026-01-26,430923,3016.46
Jersey Patch,2026-01-30,991711,11900.53
Courtside LED,2026-01-30,829655,7466.89
Arena Concourse Signage,2026-01-30,124695,498.78
Scoreboard Feature,2026-01-30,365653,2559.57
