asset_name,game_date,broadcast_impressions,estimated_value
Jersey Patch,2026-02-03,804869,9658.43
Courtside LED,2026-02-03,513831,4624.48
Arena Concourse Signage,2026-02-03,130867,523.47
Scoreboard Feature,2026-02-03,297384,2081.69
Jersey Patch,2026-02-07,919376,11032.51
Courtside LED,2026-02-07,597618,5378.56
Arena Concourse Signage,2026-02-07,88175,352.7
Scoreboard Feature,2026-02-07,401784,2812.49
Jersey Patch,2026-02-11,650247,7802.96
Courtside LED,2026-02-11,624121,5617.09
Arena Concourse Signage,2026-02-11,89029,356.12
Scoreboard Feature,2026-02-11,301771,2112.4
Jersey Patch,2026-02-15,859240,10310.88
Courtside LED,2026-02-15,777472,6997.25
Arena Concourse Signage,2026-02-15,92913,371.65
Scoreboard Feature,2026-02-15,333577,2335.04
Jersey Patch,2026-02-19,968813,11625.76
Courtside LED,2026-02-19,824606,7421.45
Arena Concourse Signage,2026-02-19,125551,502.2
Scoreboard Feature,2026-02-19,375203,2626.42
Jersey Patch,2026-02-23,1157177,13886.12
Courtside LED,2026-02-23,473167,4258.5
Arena Concourse Signage,2026-02-23,145809,583.24
Scoreboard Feature,2026-02-23,349506,2446.54
Jersey Patch,2026-02-27,707897,8494.76
Courtside LED,2026-02-27,500938,4508.44
Arena Concourse Signage,2026-02-27,106210,424.84
Scoreboard Feature,2026-02-27,475870,3331.09
Jersey Patch,2026-03-03,727592,8731.1
Courtside LED,2026-03-03,681824,6136.42
Arena Concourse Signage,2026-03-03,130001,520.0
Scoreboard Feature,2026-03-03,369375,2585.62
Jersey Patch,2026-03-07,925782,11109.38
Courtside LED,2026-03-07,479487,4315.38
Arena Concourse Signage,2026-03-07,88291,353.16
Scoreboard Feature,2026-03-07,329430,2306.01
Jersey Patch,2026-03-11,997415,11968.98
Courtside LED,2026-03-11,621760,5595.84
Arena Concourse Signage,2026-03-11,106618,426.47
Scoreboard Feature,2026-03-11,420534,2943.74
Jersey Patch,2026-03-15,874719,10496.63
Courtside LED,2026-03-15,571909,5147.18
Arena Concourse Signage,2026-03-15,141195,564.78
Scoreboard Feature,2026-03-15,447758,3134.31
Jersey Patch,2026-03-19,761812,9141.74
Courtside LED,2026-03-19,679025,6111.22
Arena Concourse Signage,2026-03-19,121814,487.26
Scoreboard Feature,2026-03-19,490032,3430.22
Jersey Patch,2026-03-23,1023900,12286.8
Courtside LED,2026-03-23,567295,5105.65
Arena Concourse Signage,2026-03-23,154572,618.29
Scoreboard Feature,2026-03-23,308335,2158.35
Jersey Patch,2026-03-27,855786,10269.43
Courtside LED,2026-03-27,750284,6752.56
Arena Concourse Signage,2026-03-27,94942,379.77
Scoreboard Feature,2026-03-27,397351,2781.46
Jersey Patch,2026-03-31,651171,7814.05
Courtside LED,2026-03-31,715604,6440.44
Arena Concourse Signage,2026-03-31,139049,556.2
Scoreboard Feature,2026-03-31,417526,2922.68
Jersey Patch,2025-12-09,738498,8861.98
